दिनेश कार्तिक के अलावा युवा केदार जाधव ने बेहतर प्रतिभा दिखाई है लेकिन टीम के रूप में सम्मिलित प्रदर्शन कर पाने में वे अब तक नाकामयाब ही रहे हैं।,2
परफॉर्मेंस चार्ट में शायद ही कभी सबसे ऊपर होते हैं।,2
स दवा से दो दिन में ही मेरी तबीयत बहाल हो गई,1
चुनाव आयोग से हम बहुत नाराज़ हैं बंगाल में इतने दिनों से हिंसा हो रही है और चुनाव आयोग अब जागा है देखिए,0
इस दौर के इन्सान की बरदाश्त की भी हद नहीं हर बार जी उठता है फिर कितनी दफ़ा मरता है…,2
क्या नेहरू मिटाओ पाओ के एजेंडे पर चल रही है मोदी सरकार अगर आपकी है कोई राय या पूछना चाहते हैं कोई सवाल तो सीधे जुड़िए…,0
पुलिस चाहे कितनी भी सतर्कता बरत लें लेकिन गोवंश माफिया चोरी छिपे इस काम को अंजाम दे देते हैं।,2
बैंगलोर में घर के गेट पर महिला पत्रकार की हत्या,0
हमें बैंक धमकी देता है भ्रष्टाचारियों मैहरबान मध्यप्रदेश सरकार नहीं चलेगा जागो किसान भाइयों जय हिंद जय भारत,0
के स्नो स्नाइपर लद्दाख के माइनस तापमान में किसी गुप्त लोकेशन पर।चीन के लिए सिर्फ फ़ोटो ही काफी…,0
अटलजी की अंतिम यात्रा की तैयारी सेना के वाहन को फूलों से सजाया गया। सेना के में अटल जी के पार्थिव शरीर को…,2
खबर है कि विद्या और उनके पति सिद्धार्थ रॉय कपूर के बीच कुछ ठीक नहीं चल रहा है।,2
कई महीनों का वेटिंग पीरियड देना पड़ा मगर अब अच्छी खबर यह है कि अब बुकिंग फिर से ओपन कर दी गई है,1
यह जितनी सुंदर है उतना ही सुंदर यह नृत्य भी करती हैं।,1
गुमनाम है वतन पर मिटने वाले लोग आतन्कवादियों से मिलकर मशहूर हो गये,2
वे अपनी भाव भंगिमाओं से फिल्म के कथ्य को प्रभावशाली बनाते हैं,1
जिम इसीलिए जाते हैं कि ये सब खा सके,1
फिर अल्पसंख्यक वोट के भरोसे कांग्रेस,0
और के बीच कार्ति चिदंबरम की गिरफ्तारी पर तीखी बहस देखिए क्या है सही और क्या है गलत,0
.,0
कुल मिलाकर इसक एक ऐसी खिचड़ी बन गई है जो हर कौर में पिछले स्वाद को कुचल देती है,2
नवाज ने फौजी की भूमिका में एक नया आयाम छुआ है,1
तीनों पालियों में कुल में से दो परीक्षार्थी अनुपस्थित रहे।,2
मैं परिवार का निरादर करके जानकारी का खुलासा नहीं करना चाहती।,1
भारत कश्मीर का मुद्दा सुलझाने में देरी कर रहा है परवेज़ मुशर्रफ पूरा कार्यक्रम देखें,0
हमारे यहां भारत में ऐसा होना असंभव है,2
इस घटना में दुखद खबर ये है कि साल के मासूम गुलाम की देर रात मौत हो गई। पुलिस ने कार चालक आस मोहम्मद के खिलाफ गैर इरादतन ह…,0
कहानी इस पेंच तक आने के बाद उलझ जाती है,2
छेड़छाड़ के विरोध पर पिता की हत्या नाराज त्यागियों ने की महापंचायत,0
दाऊद की जमीन हिली गुलशन कुमार मर्डर केस में वांछित संगीतकार नदीम को ‘अंडरग्राउंड’ करने की फिराक़ में…,1
राहुल ने पुलिसवाले से क्या पूछा कि हंसने लगा पुलिसवाला,0
मुगल हमारे पूर्वज नहीं लुटेरे थे अब यही इतिहास लिखा जाएगा दिनेश शर्मा,0
